
Clock type: WALL
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..assumptions/__init__.py:1 <module>  1      0.000017  0.003726  0.003726
..b/python3.10/inspect.py:612 unwrap  983    0.002038  0.003726  0.000004
..python3.10/typing.py:515 <genexpr>  1095   0.000601  0.003722  0.000003
..e_importer.py:726 _patched_getfile  1004   0.000905  0.003715  0.000004
../lib/python3.10/abc.py:105 __new__  91     0.001670  0.003700  0.000041
..ernal>:1587 FileFinder._fill_cache  122    0.000592  0.003688  0.000030
..autograd/function.py:671 <genexpr>  12     0.000024  0.003687  0.000307
../sympy/logic/boolalg.py:1 <module>  1      0.000060  0.003675  0.003675
..__init__.py:224 get_decompositions  1      0.001530  0.003651  0.003651
..orch/jit/_trace.py:155 clone_input  8      0.000080  0.003641  0.000455
..es/sympy/core/random.py:1 <module>  1      0.000044  0.003630  0.003630
..>:1089 SourceFileLoader.path_stats  841    0.000865  0.003583  0.000004
..ly_shard/_fsdp_param.py:1 <module>  1      0.000054  0.003578  0.003578
..atrices/domainmatrix.py:1 <module>  1      0.000043  0.003565  0.003565
..ogger.py:144 JSONStreamBackend.log  32     0.001248  0.003556  0.000111
..nit__.py:602 get_device_properties  3      0.000031  0.003513  0.001171
..y:156 SafeLoader.fetch_more_tokens  101    0.000335  0.003510  0.000035
..o/precompile_context.py:1 <module>  1      0.000065  0.003495  0.003495
..:629 PathDistribution.entry_points  69     0.000079  0.003488  0.000051
..ympy/solvers/ode/ode.py:1 <module>  1      0.000058  0.003485  0.003485
..py/polys/polyclasses.py:1 <module>  1      0.000053  0.003479  0.003479
..ductor/runtime/hints.py:1 <module>  1      0.000017  0.003457  0.003457
..otstrap_external>:1343 _path_hooks  103    0.000820  0.003439  0.000033
../inspect.py:3014 Signature.replace  506    0.000668  0.003427  0.000007
..10/inspect.py:1687 _check_instance  2725   0.002943  0.003421  0.000001
..0/inspect.py:1349 formatannotation  721    0.001354  0.003410  0.000005
...10/sre_parse.py:255 Tokenizer.get  3739   0.001863  0.003406  0.000001
...py:772 _get_available_device_type  137    0.000299  0.003401  0.000025
../python3.10/typing.py:2267 __new__  20     0.000679  0.003396  0.000170
../torch/_numpy/_funcs.py:1 <module>  1      0.000204  0.003356  0.003356
..ted/tensor/_dispatch.py:1 <module>  1      0.000050  0.003346  0.003346
..triton/language/core.py:34 builtin  390    0.000714  0.003342  0.000009
..untime/runtime_utils.py:1 <module>  1      0.000018  0.003340  0.003340
..0/enum.py:89 _EnumDict.__setitem__  356    0.001749  0.003339  0.000009
..y/utilities/__init__.py:1 <module>  1      0.000019  0.003315  0.003315
